SearchBayesianSkopt: Resuming 'IALSRecommender' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'num_factors': 44, 'epochs': 70, 'confidence_scaling': 'linear', 'alpha': 0.08875472111128377, 'epsilon': 0.5664828581434084, 'reg': 0.0003796823554974192} - results: PRECISION: 0.2232664, PRECISION_RECALL_MIN_DEN: 0.2248967, RECALL: 0.0497159, MAP: 0.1072479, MAP_MIN_DEN: 0.1079551, MRR: 0.4435837, NDCG: 0.2302303, F1: 0.0813232, HIT_RATE: 0.8922445, ARHR_ALL_HITS: 0.6875216, NOVELTY: 0.0055473, AVERAGE_POPULARITY: 0.5028097, DIVERSITY_MEAN_INTER_LIST: 0.9423831, DIVERSITY_HERFINDAHL: 0.9942314, COVERAGE_ITEM: 0.0420843, COVERAGE_ITEM_CORRECT: 0.0342212, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8917216, DIVERSITY_GINI: 0.0104815, SHANNON_ENTROPY: 7.9865993, RATIO_DIVERSITY_HERFINDAHL: 0.9946039, RATIO_DIVERSITY_GINI: 0.0402323, RATIO_SHANNON_ENTROPY: 0.6415000, RATIO_AVERAGE_POPULARITY: 2.5344038, RATIO_NOVELTY: 0.0326780, 
CUTOFF: 10 - PRECISION: 0.2881607, PRECISION_RECALL_MIN_DEN: 0.2896760, RECALL: 0.0529679, MAP: 0.1517493, MAP_MIN_DEN: 0.1524213, MRR: 0.5260889, NDCG: 0.2968132, F1: 0.0894869, HIT_RATE: 0.9439191, ARHR_ALL_HITS: 0.8875775, NOVELTY: 0.0056317, AVERAGE_POPULARITY: 0.4758164, DIVERSITY_MEAN_INTER_LIST: 0.9510325, DIVERSITY_HERFINDAHL: 0.9950963, COVERAGE_ITEM: 0.0672241, COVERAGE_ITEM_CORRECT: 0.0547096, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9432967, DIVERSITY_GINI: 0.0155645, SHANNON_ENTROPY: 8.4931045, RATIO_DIVERSITY_HERFINDAHL: 0.9954691, RATIO_DIVERSITY_GINI: 0.0597431, RATIO_SHANNON_ENTROPY: 0.6821835, RATIO_AVERAGE_POPULARITY: 2.3983443, RATIO_NOVELTY: 0.0331751, 

SearchBayesianSkopt: Config 7 is suboptimal. Config: {'num_factors': 136, 'epochs': 40, 'confidence_scaling': 'linear', 'alpha': 2.58011933860512, 'epsilon': 0.009321586848581738, 'reg': 0.005114546728354464} - results: PRECISION: 0.2102258, PRECISION_RECALL_MIN_DEN: 0.2120721, RECALL: 0.0490814, MAP: 0.0987803, MAP_MIN_DEN: 0.0996405, MRR: 0.4301859, NDCG: 0.2175496, F1: 0.0795827, HIT_RATE: 0.8827884, ARHR_ALL_HITS: 0.6505019, NOVELTY: 0.0057159, AVERAGE_POPULARITY: 0.4354126, DIVERSITY_MEAN_INTER_LIST: 0.9656422, DIVERSITY_HERFINDAHL: 0.9965571, COVERAGE_ITEM: 0.0957417, COVERAGE_ITEM_CORRECT: 0.0703804, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8822711, DIVERSITY_GINI: 0.0215341, SHANNON_ENTROPY: 8.9711988, RATIO_DIVERSITY_HERFINDAHL: 0.9969305, RATIO_DIVERSITY_GINI: 0.0826568, RATIO_SHANNON_ENTROPY: 0.7205850, RATIO_AVERAGE_POPULARITY: 2.1946897, RATIO_NOVELTY: 0.0336714, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'num_factors': 140, 'epochs': 50, 'confidence_scaling': 'log', 'alpha': 0.26812384439908543, 'epsilon': 2.030573835298321, 'reg': 0.000857217171286322} - results: PRECISION: 0.1866955, PRECISION_RECALL_MIN_DEN: 0.1878424, RECALL: 0.0400934, MAP: 0.0867231, MAP_MIN_DEN: 0.0872352, MRR: 0.4007557, NDCG: 0.1946936, F1: 0.0660108, HIT_RATE: 0.8366808, ARHR_ALL_HITS: 0.5879897, NOVELTY: 0.0058697, AVERAGE_POPULARITY: 0.3328245, DIVERSITY_MEAN_INTER_LIST: 0.9716865, DIVERSITY_HERFINDAHL: 0.9971615, COVERAGE_ITEM: 0.0604131, COVERAGE_ITEM_CORRECT: 0.0493937, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8361905, DIVERSITY_GINI: 0.0189359, SHANNON_ENTROPY: 8.8506936, RATIO_DIVERSITY_HERFINDAHL: 0.9975351, RATIO_DIVERSITY_GINI: 0.0726840, RATIO_SHANNON_ENTROPY: 0.7109058, RATIO_AVERAGE_POPULARITY: 1.6775964, RATIO_NOVELTY: 0.0345774, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'num_factors': 134, 'epochs': 25, 'confidence_scaling': 'log', 'alpha': 2.461842109002506, 'epsilon': 4.293843550165557, 'reg': 0.00027759999405214595} - results: PRECISION: 0.1925451, PRECISION_RECALL_MIN_DEN: 0.1938087, RECALL: 0.0419730, MAP: 0.0895723, MAP_MIN_DEN: 0.0900636, MRR: 0.4075944, NDCG: 0.2001570, F1: 0.0689217, HIT_RATE: 0.8480428, ARHR_ALL_HITS: 0.6027663, NOVELTY: 0.0058186, AVERAGE_POPULARITY: 0.3628761, DIVERSITY_MEAN_INTER_LIST: 0.9745294, DIVERSITY_HERFINDAHL: 0.9974458, COVERAGE_ITEM: 0.0670026, COVERAGE_ITEM_CORRECT: 0.0542112, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8475458, DIVERSITY_GINI: 0.0208789, SHANNON_ENTROPY: 8.9904676, RATIO_DIVERSITY_HERFINDAHL: 0.9978195, RATIO_DIVERSITY_GINI: 0.0801420, RATIO_SHANNON_ENTROPY: 0.7221328, RATIO_AVERAGE_POPULARITY: 1.8290706, RATIO_NOVELTY: 0.0342759, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'num_factors': 132, 'epochs': 30, 'confidence_scaling': 'linear', 'alpha': 10.114517869089937, 'epsilon': 0.002126853716613704, 'reg': 0.0011666871134238099} - results: PRECISION: 0.1881689, PRECISION_RECALL_MIN_DEN: 0.1899719, RECALL: 0.0466633, MAP: 0.0839725, MAP_MIN_DEN: 0.0847523, MRR: 0.3895980, NDCG: 0.1929046, F1: 0.0747817, HIT_RATE: 0.8566193, ARHR_ALL_HITS: 0.5716088, NOVELTY: 0.0060004, AVERAGE_POPULARITY: 0.3317027, DIVERSITY_MEAN_INTER_LIST: 0.9814124, DIVERSITY_HERFINDAHL: 0.9981340, COVERAGE_ITEM: 0.1667866, COVERAGE_ITEM_CORRECT: 0.1114126, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8561172, DIVERSITY_GINI: 0.0442037, SHANNON_ENTROPY: 9.9899380, RATIO_DIVERSITY_HERFINDAHL: 0.9985080, RATIO_DIVERSITY_GINI: 0.1696720, RATIO_SHANNON_ENTROPY: 0.8024123, RATIO_AVERAGE_POPULARITY: 1.6719419, RATIO_NOVELTY: 0.0353471, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'num_factors': 176, 'epochs': 40, 'confidence_scaling': 'log', 'alpha': 4.8074990983064225, 'epsilon': 0.0016593059197068387, 'reg': 0.00608925420854957} - results: PRECISION: 0.1302155, PRECISION_RECALL_MIN_DEN: 0.1319182, RECALL: 0.0351223, MAP: 0.0518185, MAP_MIN_DEN: 0.0525215, MRR: 0.2897071, NDCG: 0.1322083, F1: 0.0553227, HIT_RATE: 0.7273860, ARHR_ALL_HITS: 0.3870001, NOVELTY: 0.0063499, AVERAGE_POPULARITY: 0.2229354, DIVERSITY_MEAN_INTER_LIST: 0.9903761, DIVERSITY_HERFINDAHL: 0.9990304, COVERAGE_ITEM: 0.2338446, COVERAGE_ITEM_CORRECT: 0.1381583, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.7269597, DIVERSITY_GINI: 0.0740168, SHANNON_ENTROPY: 10.7703846, RATIO_DIVERSITY_HERFINDAHL: 0.9994046, RATIO_DIVERSITY_GINI: 0.2841071, RATIO_SHANNON_ENTROPY: 0.8650993, RATIO_AVERAGE_POPULARITY: 1.1237022, RATIO_NOVELTY: 0.0374058, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'num_factors': 107, 'epochs': 20, 'confidence_scaling': 'log', 'alpha': 2.616751917826852, 'epsilon': 1.1078318612489624, 'reg': 3.7673867409565714e-05} - results: PRECISION: 0.2131066, PRECISION_RECALL_MIN_DEN: 0.2149769, RECALL: 0.0489682, MAP: 0.1010428, MAP_MIN_DEN: 0.1018577, MRR: 0.4350638, NDCG: 0.2207433, F1: 0.0796371, HIT_RATE: 0.8879930, ARHR_ALL_HITS: 0.6609959, NOVELTY: 0.0056806, AVERAGE_POPULARITY: 0.4458165, DIVERSITY_MEAN_INTER_LIST: 0.9637885, DIVERSITY_HERFINDAHL: 0.9963718, COVERAGE_ITEM: 0.0768592, COVERAGE_ITEM_CORRECT: 0.0580320, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8874725, DIVERSITY_GINI: 0.0183357, SHANNON_ENTROPY: 8.7720361, RATIO_DIVERSITY_HERFINDAHL: 0.9967451, RATIO_DIVERSITY_GINI: 0.0703799, RATIO_SHANNON_ENTROPY: 0.7045879, RATIO_AVERAGE_POPULARITY: 2.2471304, RATIO_NOVELTY: 0.0334630, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'num_factors': 6, 'epochs': 70, 'confidence_scaling': 'log', 'alpha': 14.225723869907224, 'epsilon': 2.587327140016284, 'reg': 0.0006813495134963602} - results: PRECISION: 0.2069345, PRECISION_RECALL_MIN_DEN: 0.2082580, RECALL: 0.0450669, MAP: 0.0998794, MAP_MIN_DEN: 0.1004709, MRR: 0.4327576, NDCG: 0.2162627, F1: 0.0740147, HIT_RATE: 0.8676147, ARHR_ALL_HITS: 0.6540110, NOVELTY: 0.0054015, AVERAGE_POPULARITY: 0.6055633, DIVERSITY_MEAN_INTER_LIST: 0.8478673, DIVERSITY_HERFINDAHL: 0.9847805, COVERAGE_ITEM: 0.0281854, COVERAGE_ITEM_CORRECT: 0.0219281, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8671062, DIVERSITY_GINI: 0.0052104, SHANNON_ENTROPY: 6.8634757, RATIO_DIVERSITY_HERFINDAHL: 0.9851495, RATIO_DIVERSITY_GINI: 0.0199996, RATIO_SHANNON_ENTROPY: 0.5512884, RATIO_AVERAGE_POPULARITY: 3.0523317, RATIO_NOVELTY: 0.0318192, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'num_factors': 26, 'epochs': 20, 'confidence_scaling': 'log', 'alpha': 0.005917871753120521, 'epsilon': 0.003116162330481619, 'reg': 4.824171311575716e-05} - results: PRECISION: 0.2299663, PRECISION_RECALL_MIN_DEN: 0.2316820, RECALL: 0.0515112, MAP: 0.1111652, MAP_MIN_DEN: 0.1119153, MRR: 0.4511968, NDCG: 0.2366338, F1: 0.0841690, HIT_RATE: 0.9014807, ARHR_ALL_HITS: 0.7052080, NOVELTY: 0.0054789, AVERAGE_POPULARITY: 0.5510636, DIVERSITY_MEAN_INTER_LIST: 0.9142380, DIVERSITY_HERFINDAHL: 0.9914171, COVERAGE_ITEM: 0.0349410, COVERAGE_ITEM_CORRECT: 0.0279085, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.9009524, DIVERSITY_GINI: 0.0083385, SHANNON_ENTROPY: 7.6046239, RATIO_DIVERSITY_HERFINDAHL: 0.9917885, RATIO_DIVERSITY_GINI: 0.0320067, RATIO_SHANNON_ENTROPY: 0.6108190, RATIO_AVERAGE_POPULARITY: 2.7776266, RATIO_NOVELTY: 0.0322749, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'num_factors': 97, 'epochs': 10, 'confidence_scaling': 'log', 'alpha': 0.002917956587732129, 'epsilon': 7.108557675305571, 'reg': 0.0002314094571542379} - results: PRECISION: 0.1951107, PRECISION_RECALL_MIN_DEN: 0.1962683, RECALL: 0.0418381, MAP: 0.0913959, MAP_MIN_DEN: 0.0919110, MRR: 0.4114938, NDCG: 0.2028821, F1: 0.0689014, HIT_RATE: 0.8516347, ARHR_ALL_HITS: 0.6111741, NOVELTY: 0.0057238, AVERAGE_POPULARITY: 0.3990713, DIVERSITY_MEAN_INTER_LIST: 0.9649123, DIVERSITY_HERFINDAHL: 0.9964842, COVERAGE_ITEM: 0.0485077, COVERAGE_ITEM_CORRECT: 0.0413090, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8511355, DIVERSITY_GINI: 0.0151517, SHANNON_ENTROPY: 8.5258449, RATIO_DIVERSITY_HERFINDAHL: 0.9968575, RATIO_DIVERSITY_GINI: 0.0581587, RATIO_SHANNON_ENTROPY: 0.6848133, RATIO_AVERAGE_POPULARITY: 2.0115123, RATIO_NOVELTY: 0.0337175, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'num_factors': 189, 'epochs': 35, 'confidence_scaling': 'linear', 'alpha': 13.686030750220445, 'epsilon': 1.1466528150755975, 'reg': 0.0044243940797452} - results: PRECISION: 0.1713019, PRECISION_RECALL_MIN_DEN: 0.1731768, RECALL: 0.0437861, MAP: 0.0739858, MAP_MIN_DEN: 0.0747566, MRR: 0.3621138, NDCG: 0.1751998, F1: 0.0697449, HIT_RATE: 0.8285442, ARHR_ALL_HITS: 0.5172593, NOVELTY: 0.0060616, AVERAGE_POPULARITY: 0.3076340, DIVERSITY_MEAN_INTER_LIST: 0.9847175, DIVERSITY_HERFINDAHL: 0.9984645, COVERAGE_ITEM: 0.1870535, COVERAGE_ITEM_CORRECT: 0.1186666, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8280586, DIVERSITY_GINI: 0.0497323, SHANNON_ENTROPY: 10.1820305, RATIO_DIVERSITY_HERFINDAHL: 0.9988386, RATIO_DIVERSITY_GINI: 0.1908932, RATIO_SHANNON_ENTROPY: 0.8178415, RATIO_AVERAGE_POPULARITY: 1.5506239, RATIO_NOVELTY: 0.0357073, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'num_factors': 76, 'epochs': 20, 'confidence_scaling': 'log', 'alpha': 23.46571083562301, 'epsilon': 2.8961221167467914, 'reg': 0.005183264535344683} - results: PRECISION: 0.2135171, PRECISION_RECALL_MIN_DEN: 0.2152277, RECALL: 0.0501891, MAP: 0.1002770, MAP_MIN_DEN: 0.1010545, MRR: 0.4319036, NDCG: 0.2200927, F1: 0.0812741, HIT_RATE: 0.8895323, ARHR_ALL_HITS: 0.6563391, NOVELTY: 0.0058616, AVERAGE_POPULARITY: 0.3854605, DIVERSITY_MEAN_INTER_LIST: 0.9712961, DIVERSITY_HERFINDAHL: 0.9971225, COVERAGE_ITEM: 0.1316795, COVERAGE_ITEM_CORRECT: 0.0932499, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8890110, DIVERSITY_GINI: 0.0315311, SHANNON_ENTROPY: 9.4661899, RATIO_DIVERSITY_HERFINDAHL: 0.9974961, RATIO_DIVERSITY_GINI: 0.1210295, RATIO_SHANNON_ENTROPY: 0.7603437, RATIO_AVERAGE_POPULARITY: 1.9429073, RATIO_NOVELTY: 0.0345292, 
SearchBayesianSkopt: New best config found. Config 18: {'num_factors': 22, 'epochs': 25, 'confidence_scaling': 'log', 'alpha': 0.014540509819904091, 'epsilon': 0.2426803765035931, 'reg': 0.003799137737326846} - results: PRECISION: 0.2298637, PRECISION_RECALL_MIN_DEN: 0.2315502, RECALL: 0.0511635, MAP: 0.1116938, MAP_MIN_DEN: 0.1124365, MRR: 0.4534512, NDCG: 0.2371574, F1: 0.0836975, HIT_RATE: 0.9001613, ARHR_ALL_HITS: 0.7084038, NOVELTY: 0.0054640, AVERAGE_POPULARITY: 0.5613101, DIVERSITY_MEAN_INTER_LIST: 0.9035360, DIVERSITY_HERFINDAHL: 0.9903470, COVERAGE_ITEM: 0.0328922, COVERAGE_ITEM_CORRECT: 0.0269118, COVERAGE_USER: 0.9994139, COVERAGE_USER_CORRECT: 0.8996337, DIVERSITY_GINI: 0.0076582, SHANNON_ENTROPY: 7.4694133, RATIO_DIVERSITY_HERFINDAHL: 0.9907180, RATIO_DIVERSITY_GINI: 0.0293954, RATIO_SHANNON_ENTROPY: 0.5999586, RATIO_AVERAGE_POPULARITY: 2.8292741, RATIO_NOVELTY: 0.0321875, 
SearchBayesianSkopt: Config evaluated with evaluator_test. Config: {'num_factors': 22, 'epochs': 25, 'confidence_scaling': 'log', 'alpha': 0.014540509819904091, 'epsilon': 0.2426803765035931, 'reg': 0.003799137737326846} - results:
CUTOFF: 10 - PRECISION: 0.2896195, PRECISION_RECALL_MIN_DEN: 0.2908505, RECALL: 0.0518274, MAP: 0.1548254, MAP_MIN_DEN: 0.1554257, MRR: 0.5339591, NDCG: 0.2999458, F1: 0.0879213, HIT_RATE: 0.9415732, ARHR_ALL_HITS: 0.9020387, NOVELTY: 0.0054639, AVERAGE_POPULARITY: 0.5613678, DIVERSITY_MEAN_INTER_LIST: 0.9034908, DIVERSITY_HERFINDAHL: 0.9903425, COVERAGE_ITEM: 0.0328368, COVERAGE_ITEM_CORRECT: 0.0284069, COVERAGE_USER: 0.9993407, COVERAGE_USER_CORRECT: 0.9409524, DIVERSITY_GINI: 0.0076531, SHANNON_ENTROPY: 7.4684913, RATIO_DIVERSITY_HERFINDAHL: 0.9907135, RATIO_DIVERSITY_GINI: 0.0293756, RATIO_SHANNON_ENTROPY: 0.5998845, RATIO_AVERAGE_POPULARITY: 2.8295649, RATIO_NOVELTY: 0.0321869, 

