SearchBayesianSkopt: Resuming 'ItemKNN_CFCBF_HybridRecommender_mixed_tversky' Failed, no such file exists.
SearchBayesianSkopt: New best config found. Config 0: {'topK': 404, 'shrink': 245, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.392927588112716, 'tversky_beta': 1.8133639822586698, 'ICM_weight': 1.1671118619726781} - results: PRECISION: 0.2118492, PRECISION_RECALL_MIN_DEN: 0.2134709, RECALL: 0.0463237, MAP: 0.1033523, MAP_MIN_DEN: 0.1041096, MRR: 0.4445567, NDCG: 0.2225481, F1: 0.0760238, HIT_RATE: 0.8748350, ARHR_ALL_HITS: 0.6748431, NOVELTY: 0.0052039, AVERAGE_POPULARITY: 0.7317080, DIVERSITY_MEAN_INTER_LIST: 0.6669775, DIVERSITY_HERFINDAHL: 0.9666929, COVERAGE_ITEM: 0.0306772, COVERAGE_ITEM_CORRECT: 0.0134559, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8740659, DIVERSITY_GINI: 0.0019128, SHANNON_ENTROPY: 5.3613456, RATIO_DIVERSITY_HERFINDAHL: 0.9670658, RATIO_DIVERSITY_GINI: 0.0077229, RATIO_SHANNON_ENTROPY: 0.4327394, RATIO_AVERAGE_POPULARITY: 3.5719243, RATIO_NOVELTY: 0.0306078, 
SearchBayesianSkopt: Config 5 is suboptimal. Config: {'topK': 952, 'shrink': 308, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.14978714341865154, 'tversky_beta': 0.2699649313986168, 'ICM_weight': 7722.109580929924} - results: PRECISION: 0.2083883, PRECISION_RECALL_MIN_DEN: 0.2100484, RECALL: 0.0450028, MAP: 0.1021070, MAP_MIN_DEN: 0.1028685, MRR: 0.4436902, NDCG: 0.2200286, F1: 0.0740205, HIT_RATE: 0.8656695, ARHR_ALL_HITS: 0.6700281, NOVELTY: 0.0051672, AVERAGE_POPULARITY: 0.7520562, DIVERSITY_MEAN_INTER_LIST: 0.6323159, DIVERSITY_HERFINDAHL: 0.9632270, COVERAGE_ITEM: 0.0197685, COVERAGE_ITEM_CORRECT: 0.0082507, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8649084, DIVERSITY_GINI: 0.0015417, SHANNON_ENTROPY: 5.1131031, RATIO_DIVERSITY_HERFINDAHL: 0.9635985, RATIO_DIVERSITY_GINI: 0.0062243, RATIO_SHANNON_ENTROPY: 0.4127026, RATIO_AVERAGE_POPULARITY: 3.6712569, RATIO_NOVELTY: 0.0303917, 
SearchBayesianSkopt: Config 6 is suboptimal. Config: {'topK': 40, 'shrink': 775, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.8020589814140946, 'tversky_beta': 0.044240189751840304, 'ICM_weight': 1222.2863524063007} - results: PRECISION: 0.1514738, PRECISION_RECALL_MIN_DEN: 0.1526059, RECALL: 0.0312210, MAP: 0.0651814, MAP_MIN_DEN: 0.0656317, MRR: 0.3264930, NDCG: 0.1549469, F1: 0.0517711, HIT_RATE: 0.7549494, ARHR_ALL_HITS: 0.4594723, NOVELTY: 0.0055878, AVERAGE_POPULARITY: 0.4682311, DIVERSITY_MEAN_INTER_LIST: 0.9461645, DIVERSITY_HERFINDAHL: 0.9946095, COVERAGE_ITEM: 0.0658397, COVERAGE_ITEM_CORRECT: 0.0273548, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.7542857, DIVERSITY_GINI: 0.0108272, SHANNON_ENTROPY: 8.0301435, RATIO_DIVERSITY_HERFINDAHL: 0.9949932, RATIO_DIVERSITY_GINI: 0.0437139, RATIO_SHANNON_ENTROPY: 0.6481506, RATIO_AVERAGE_POPULARITY: 2.2857288, RATIO_NOVELTY: 0.0328655, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 450, 'shrink': 992, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.9746480401484652, 'tversky_beta': 0.12424317930081588, 'ICM_weight': 22.631335775747974} - results: PRECISION: 0.1778340, PRECISION_RECALL_MIN_DEN: 0.1789387, RECALL: 0.0372613, MAP: 0.0814145, MAP_MIN_DEN: 0.0818433, MRR: 0.3773757, NDCG: 0.1838979, F1: 0.0616130, HIT_RATE: 0.8097962, ARHR_ALL_HITS: 0.5515256, NOVELTY: 0.0055033, AVERAGE_POPULARITY: 0.5034230, DIVERSITY_MEAN_INTER_LIST: 0.8657748, DIVERSITY_HERFINDAHL: 0.9865711, COVERAGE_ITEM: 0.0414198, COVERAGE_ITEM_CORRECT: 0.0221496, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8090842, DIVERSITY_GINI: 0.0051068, SHANNON_ENTROPY: 6.8940072, RATIO_DIVERSITY_HERFINDAHL: 0.9869517, RATIO_DIVERSITY_GINI: 0.0206182, RATIO_SHANNON_ENTROPY: 0.5564477, RATIO_AVERAGE_POPULARITY: 2.4575224, RATIO_NOVELTY: 0.0323686, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 472, 'shrink': 332, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.231406843800112, 'tversky_beta': 1.6895189507395159, 'ICM_weight': 10.76178457809084} - results: PRECISION: 0.2109180, PRECISION_RECALL_MIN_DEN: 0.2127087, RECALL: 0.0463096, MAP: 0.1030098, MAP_MIN_DEN: 0.1038013, MRR: 0.4435211, NDCG: 0.2218526, F1: 0.0759446, HIT_RATE: 0.8717554, ARHR_ALL_HITS: 0.6731704, NOVELTY: 0.0051925, AVERAGE_POPULARITY: 0.7383975, DIVERSITY_MEAN_INTER_LIST: 0.6516016, DIVERSITY_HERFINDAHL: 0.9651554, COVERAGE_ITEM: 0.0274655, COVERAGE_ITEM_CORRECT: 0.0118500, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8709890, DIVERSITY_GINI: 0.0017715, SHANNON_ENTROPY: 5.2606248, RATIO_DIVERSITY_HERFINDAHL: 0.9655277, RATIO_DIVERSITY_GINI: 0.0071522, RATIO_SHANNON_ENTROPY: 0.4246097, RATIO_AVERAGE_POPULARITY: 3.6045800, RATIO_NOVELTY: 0.0305407, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 228, 'shrink': 98, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7694416910223454, 'tversky_beta': 0.9004610723475168, 'ICM_weight': 1.2883801934081416} - results: PRECISION: 0.2135430, PRECISION_RECALL_MIN_DEN: 0.2153328, RECALL: 0.0471225, MAP: 0.1035675, MAP_MIN_DEN: 0.1043439, MRR: 0.4418846, NDCG: 0.2232433, F1: 0.0772077, HIT_RATE: 0.8779880, ARHR_ALL_HITS: 0.6738357, NOVELTY: 0.0052363, AVERAGE_POPULARITY: 0.7120933, DIVERSITY_MEAN_INTER_LIST: 0.7160151, DIVERSITY_HERFINDAHL: 0.9715963, COVERAGE_ITEM: 0.0418074, COVERAGE_ITEM_CORRECT: 0.0181627, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8772161, DIVERSITY_GINI: 0.0025418, SHANNON_ENTROPY: 5.7217787, RATIO_DIVERSITY_HERFINDAHL: 0.9719711, RATIO_DIVERSITY_GINI: 0.0102624, RATIO_SHANNON_ENTROPY: 0.4618316, RATIO_AVERAGE_POPULARITY: 3.4761731, RATIO_NOVELTY: 0.0307981, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 556, 'shrink': 391, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7449196532113275, 'tversky_beta': 0.5967074095799169, 'ICM_weight': 923.174642742234} - results: PRECISION: 0.2095762, PRECISION_RECALL_MIN_DEN: 0.2112211, RECALL: 0.0457945, MAP: 0.1011060, MAP_MIN_DEN: 0.1018141, MRR: 0.4378255, NDCG: 0.2192627, F1: 0.0751647, HIT_RATE: 0.8743951, ARHR_ALL_HITS: 0.6627448, NOVELTY: 0.0052251, AVERAGE_POPULARITY: 0.7074240, DIVERSITY_MEAN_INTER_LIST: 0.7185211, DIVERSITY_HERFINDAHL: 0.9718468, COVERAGE_ITEM: 0.0284623, COVERAGE_ITEM_CORRECT: 0.0127360, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8736264, DIVERSITY_GINI: 0.0021435, SHANNON_ENTROPY: 5.5976637, RATIO_DIVERSITY_HERFINDAHL: 0.9722217, RATIO_DIVERSITY_GINI: 0.0086544, RATIO_SHANNON_ENTROPY: 0.4518137, RATIO_AVERAGE_POPULARITY: 3.4533791, RATIO_NOVELTY: 0.0307322, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 343, 'shrink': 628, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.4725287908432362, 'tversky_beta': 1.436804090727557, 'ICM_weight': 2.8845944978794007} - results: PRECISION: 0.2084763, PRECISION_RECALL_MIN_DEN: 0.2102293, RECALL: 0.0456238, MAP: 0.1027560, MAP_MIN_DEN: 0.1035625, MRR: 0.4470711, NDCG: 0.2209964, F1: 0.0748641, HIT_RATE: 0.8688224, ARHR_ALL_HITS: 0.6749913, NOVELTY: 0.0051714, AVERAGE_POPULARITY: 0.7511445, DIVERSITY_MEAN_INTER_LIST: 0.6261026, DIVERSITY_HERFINDAHL: 0.9626057, COVERAGE_ITEM: 0.0227587, COVERAGE_ITEM_CORRECT: 0.0099120, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8680586, DIVERSITY_GINI: 0.0015753, SHANNON_ENTROPY: 5.1162651, RATIO_DIVERSITY_HERFINDAHL: 0.9629770, RATIO_DIVERSITY_GINI: 0.0063601, RATIO_SHANNON_ENTROPY: 0.4129578, RATIO_AVERAGE_POPULARITY: 3.6668061, RATIO_NOVELTY: 0.0304161, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 191, 'shrink': 580, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1230661091227891, 'tversky_beta': 1.9610906818085583, 'ICM_weight': 3516.130346864942} - results: PRECISION: 0.2124945, PRECISION_RECALL_MIN_DEN: 0.2143016, RECALL: 0.0468669, MAP: 0.1042127, MAP_MIN_DEN: 0.1049637, MRR: 0.4471498, NDCG: 0.2237618, F1: 0.0767960, HIT_RATE: 0.8751283, ARHR_ALL_HITS: 0.6798775, NOVELTY: 0.0051955, AVERAGE_POPULARITY: 0.7361337, DIVERSITY_MEAN_INTER_LIST: 0.6716222, DIVERSITY_HERFINDAHL: 0.9671573, COVERAGE_ITEM: 0.0323938, COVERAGE_ITEM_CORRECT: 0.0136774, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8743590, DIVERSITY_GINI: 0.0019732, SHANNON_ENTROPY: 5.3998294, RATIO_DIVERSITY_HERFINDAHL: 0.9675304, RATIO_DIVERSITY_GINI: 0.0079667, RATIO_SHANNON_ENTROPY: 0.4358456, RATIO_AVERAGE_POPULARITY: 3.5935289, RATIO_NOVELTY: 0.0305579, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 536, 'shrink': 413, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.2896719339176332, 'tversky_beta': 1.8444841450115415, 'ICM_weight': 2483.12755578455} - results: PRECISION: 0.2098621, PRECISION_RECALL_MIN_DEN: 0.2116871, RECALL: 0.0460677, MAP: 0.1031164, MAP_MIN_DEN: 0.1039145, MRR: 0.4465116, NDCG: 0.2218244, F1: 0.0755510, HIT_RATE: 0.8705822, ARHR_ALL_HITS: 0.6757897, NOVELTY: 0.0051849, AVERAGE_POPULARITY: 0.7431000, DIVERSITY_MEAN_INTER_LIST: 0.6399399, DIVERSITY_HERFINDAHL: 0.9639893, COVERAGE_ITEM: 0.0254167, COVERAGE_ITEM_CORRECT: 0.0110748, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8698168, DIVERSITY_GINI: 0.0016732, SHANNON_ENTROPY: 5.1844090, RATIO_DIVERSITY_HERFINDAHL: 0.9643612, RATIO_DIVERSITY_GINI: 0.0067555, RATIO_SHANNON_ENTROPY: 0.4184580, RATIO_AVERAGE_POPULARITY: 3.6275359, RATIO_NOVELTY: 0.0304960, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 704, 'shrink': 808, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.1131853344478393, 'tversky_beta': 1.4932195872021639, 'ICM_weight': 3.869690256234015} - results: PRECISION: 0.2082417, PRECISION_RECALL_MIN_DEN: 0.2100058, RECALL: 0.0454043, MAP: 0.1020563, MAP_MIN_DEN: 0.1028702, MRR: 0.4434765, NDCG: 0.2200320, F1: 0.0745532, HIT_RATE: 0.8669893, ARHR_ALL_HITS: 0.6700185, NOVELTY: 0.0051711, AVERAGE_POPULARITY: 0.7493642, DIVERSITY_MEAN_INTER_LIST: 0.6301336, DIVERSITY_HERFINDAHL: 0.9630087, COVERAGE_ITEM: 0.0217066, COVERAGE_ITEM_CORRECT: 0.0086937, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8662271, DIVERSITY_GINI: 0.0015438, SHANNON_ENTROPY: 5.0915229, RATIO_DIVERSITY_HERFINDAHL: 0.9633802, RATIO_DIVERSITY_GINI: 0.0062329, RATIO_SHANNON_ENTROPY: 0.4109607, RATIO_AVERAGE_POPULARITY: 3.6581153, RATIO_NOVELTY: 0.0304148, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 809, 'shrink': 412, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.2722349300315248, 'tversky_beta': 1.027591436014937, 'ICM_weight': 502.2741562368765} - results: PRECISION: 0.2051400, PRECISION_RECALL_MIN_DEN: 0.2068583, RECALL: 0.0444625, MAP: 0.1010514, MAP_MIN_DEN: 0.1017994, MRR: 0.4438997, NDCG: 0.2179468, F1: 0.0730845, HIT_RATE: 0.8613433, ARHR_ALL_HITS: 0.6671509, NOVELTY: 0.0051551, AVERAGE_POPULARITY: 0.7618358, DIVERSITY_MEAN_INTER_LIST: 0.5926844, DIVERSITY_HERFINDAHL: 0.9592641, COVERAGE_ITEM: 0.0170552, COVERAGE_ITEM_CORRECT: 0.0073094, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8605861, DIVERSITY_GINI: 0.0013671, SHANNON_ENTROPY: 4.9069088, RATIO_DIVERSITY_HERFINDAHL: 0.9596341, RATIO_DIVERSITY_GINI: 0.0055194, RATIO_SHANNON_ENTROPY: 0.3960596, RATIO_AVERAGE_POPULARITY: 3.7189969, RATIO_NOVELTY: 0.0303203, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 442, 'shrink': 312, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.056764053695398, 'tversky_beta': 0.7628269274194255, 'ICM_weight': 6009.097273207148} - results: PRECISION: 0.2092242, PRECISION_RECALL_MIN_DEN: 0.2108149, RECALL: 0.0456685, MAP: 0.1002005, MAP_MIN_DEN: 0.1008549, MRR: 0.4317880, NDCG: 0.2176620, F1: 0.0749724, HIT_RATE: 0.8741018, ARHR_ALL_HITS: 0.6550353, NOVELTY: 0.0052505, AVERAGE_POPULARITY: 0.6902429, DIVERSITY_MEAN_INTER_LIST: 0.7468437, DIVERSITY_HERFINDAHL: 0.9746789, COVERAGE_ITEM: 0.0323938, COVERAGE_ITEM_CORRECT: 0.0146741, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8733333, DIVERSITY_GINI: 0.0024676, SHANNON_ENTROPY: 5.7926443, RATIO_DIVERSITY_HERFINDAHL: 0.9750549, RATIO_DIVERSITY_GINI: 0.0099626, RATIO_SHANNON_ENTROPY: 0.4675515, RATIO_AVERAGE_POPULARITY: 3.3695074, RATIO_NOVELTY: 0.0308816, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 941, 'shrink': 210, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 1.0889595329991868, 'tversky_beta': 0.34884895326173454, 'ICM_weight': 771.44042272701} - results: PRECISION: 0.1908638, PRECISION_RECALL_MIN_DEN: 0.1921975, RECALL: 0.0409497, MAP: 0.0894327, MAP_MIN_DEN: 0.0900297, MRR: 0.4021229, NDCG: 0.1984610, F1: 0.0674320, HIT_RATE: 0.8410324, ARHR_ALL_HITS: 0.5971072, NOVELTY: 0.0054212, AVERAGE_POPULARITY: 0.5640014, DIVERSITY_MEAN_INTER_LIST: 0.8358735, DIVERSITY_HERFINDAHL: 0.9835812, COVERAGE_ITEM: 0.0410322, COVERAGE_ITEM_CORRECT: 0.0209868, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8402930, DIVERSITY_GINI: 0.0041222, SHANNON_ENTROPY: 6.5621099, RATIO_DIVERSITY_HERFINDAHL: 0.9839606, RATIO_DIVERSITY_GINI: 0.0166429, RATIO_SHANNON_ENTROPY: 0.5296587, RATIO_AVERAGE_POPULARITY: 2.7532434, RATIO_NOVELTY: 0.0318856, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 905, 'shrink': 930, 'similarity': 'tversky', 'normalize': True, 'tversky_alpha': 0.7815480864833697, 'tversky_beta': 1.3835222536800897, 'ICM_weight': 9.421857852044285} - results: PRECISION: 0.2060639, PRECISION_RECALL_MIN_DEN: 0.2078066, RECALL: 0.0446796, MAP: 0.1013130, MAP_MIN_DEN: 0.1020993, MRR: 0.4436141, NDCG: 0.2185448, F1: 0.0734364, HIT_RATE: 0.8630298, ARHR_ALL_HITS: 0.6676138, NOVELTY: 0.0051562, AVERAGE_POPULARITY: 0.7600781, DIVERSITY_MEAN_INTER_LIST: 0.5992378, DIVERSITY_HERFINDAHL: 0.9599194, COVERAGE_ITEM: 0.0183842, COVERAGE_ITEM_CORRECT: 0.0071986, COVERAGE_USER: 0.9991209, COVERAGE_USER_CORRECT: 0.8622711, DIVERSITY_GINI: 0.0013852, SHANNON_ENTROPY: 4.9259110, RATIO_DIVERSITY_HERFINDAHL: 0.9602897, RATIO_DIVERSITY_GINI: 0.0055925, RATIO_SHANNON_ENTROPY: 0.3975934, RATIO_AVERAGE_POPULARITY: 3.7104169, RATIO_NOVELTY: 0.0303270, 
