SearchBayesianSkopt: Extending previous number of cases from 50 to 150.
SearchBayesianSkopt: Search interrupted due to ValueError. The evaluated configurations may have had all the same value.
SearchBayesianSkopt: New best config found. Config 0: {'topK': 1208, 'l1_ratio': 1.046137916765057e-05, 'alpha': 0.5119339467956279} - results: PRECISION: 0.2351565, PRECISION_RECALL_MIN_DEN: 0.2376518, RECALL: 0.0540540, MAP: 0.1152662, MAP_MIN_DEN: 0.1162066, MRR: 0.4636224, NDCG: 0.2435698, F1: 0.0879025, HIT_RATE: 0.9092309, ARHR_ALL_HITS: 0.7279796, NOVELTY: 0.0053084, AVERAGE_POPULARITY: 0.6536793, DIVERSITY_MEAN_INTER_LIST: 0.8141581, DIVERSITY_HERFINDAHL: 0.9814098, COVERAGE_ITEM: 0.0398693, COVERAGE_ITEM_CORRECT: 0.0240323, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9084982, DIVERSITY_GINI: 0.0042627, SHANNON_ENTROPY: 6.5586445, RATIO_DIVERSITY_HERFINDAHL: 0.9817884, RATIO_DIVERSITY_GINI: 0.0172122, RATIO_SHANNON_ENTROPY: 0.5293777, RATIO_AVERAGE_POPULARITY: 3.2324266, RATIO_NOVELTY: 0.0312219, 
SearchBayesianSkopt: Config 7 is suboptimal. Config: {'topK': 1131, 'l1_ratio': 0.00011969605515223506, 'alpha': 0.6563953103281471} - results: PRECISION: 0.2344160, PRECISION_RECALL_MIN_DEN: 0.2367881, RECALL: 0.0535834, MAP: 0.1148463, MAP_MIN_DEN: 0.1157659, MRR: 0.4635843, NDCG: 0.2429082, F1: 0.0872280, HIT_RATE: 0.9076912, ARHR_ALL_HITS: 0.7266666, NOVELTY: 0.0052860, AVERAGE_POPULARITY: 0.6665792, DIVERSITY_MEAN_INTER_LIST: 0.7976553, DIVERSITY_HERFINDAHL: 0.9797597, COVERAGE_ITEM: 0.0364915, COVERAGE_ITEM_CORRECT: 0.0219835, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9069597, DIVERSITY_GINI: 0.0037747, SHANNON_ENTROPY: 6.3941407, RATIO_DIVERSITY_HERFINDAHL: 0.9801376, RATIO_DIVERSITY_GINI: 0.0152420, RATIO_SHANNON_ENTROPY: 0.5160998, RATIO_AVERAGE_POPULARITY: 3.2962162, RATIO_NOVELTY: 0.0310902, 
SearchBayesianSkopt: Config 8 is suboptimal. Config: {'topK': 1353, 'l1_ratio': 0.0003066734067315012, 'alpha': 0.5204028341604616} - results: PRECISION: 0.2353912, PRECISION_RECALL_MIN_DEN: 0.2379058, RECALL: 0.0541706, MAP: 0.1152984, MAP_MIN_DEN: 0.1162378, MRR: 0.4639325, NDCG: 0.2437408, F1: 0.0880730, HIT_RATE: 0.9096708, ARHR_ALL_HITS: 0.7283633, NOVELTY: 0.0053038, AVERAGE_POPULARITY: 0.6560543, DIVERSITY_MEAN_INTER_LIST: 0.8118827, DIVERSITY_HERFINDAHL: 0.9811823, COVERAGE_ITEM: 0.0390941, COVERAGE_ITEM_CORRECT: 0.0239216, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9089377, DIVERSITY_GINI: 0.0041855, SHANNON_ENTROPY: 6.5346080, RATIO_DIVERSITY_HERFINDAHL: 0.9815608, RATIO_DIVERSITY_GINI: 0.0169008, RATIO_SHANNON_ENTROPY: 0.5274376, RATIO_AVERAGE_POPULARITY: 3.2441709, RATIO_NOVELTY: 0.0311948, 
SearchBayesianSkopt: Config 9 is suboptimal. Config: {'topK': 908, 'l1_ratio': 0.0046621424507942094, 'alpha': 0.33664977387010697} - results: PRECISION: 0.2349732, PRECISION_RECALL_MIN_DEN: 0.2374354, RECALL: 0.0540300, MAP: 0.1147979, MAP_MIN_DEN: 0.1157357, MRR: 0.4635510, NDCG: 0.2431663, F1: 0.0878579, HIT_RATE: 0.9098908, ARHR_ALL_HITS: 0.7263960, NOVELTY: 0.0053152, AVERAGE_POPULARITY: 0.6476464, DIVERSITY_MEAN_INTER_LIST: 0.8248580, DIVERSITY_HERFINDAHL: 0.9824798, COVERAGE_ITEM: 0.0400354, COVERAGE_ITEM_CORRECT: 0.0235340, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9091575, DIVERSITY_GINI: 0.0044947, SHANNON_ENTROPY: 6.6463156, RATIO_DIVERSITY_HERFINDAHL: 0.9828587, RATIO_DIVERSITY_GINI: 0.0181490, RATIO_SHANNON_ENTROPY: 0.5364540, RATIO_AVERAGE_POPULARITY: 3.2025939, RATIO_NOVELTY: 0.0312620, 
SearchBayesianSkopt: Config 10 is suboptimal. Config: {'topK': 1367, 'l1_ratio': 0.002317261183667, 'alpha': 0.15542671922693838} - results: PRECISION: 0.2392257, PRECISION_RECALL_MIN_DEN: 0.2417574, RECALL: 0.0553772, MAP: 0.1168990, MAP_MIN_DEN: 0.1178565, MRR: 0.4681664, NDCG: 0.2469550, F1: 0.0899357, HIT_RATE: 0.9157563, ARHR_ALL_HITS: 0.7364119, NOVELTY: 0.0054034, AVERAGE_POPULARITY: 0.6005209, DIVERSITY_MEAN_INTER_LIST: 0.8702219, DIVERSITY_HERFINDAHL: 0.9870158, COVERAGE_ITEM: 0.0522177, COVERAGE_ITEM_CORRECT: 0.0324492, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9150183, DIVERSITY_GINI: 0.0067513, SHANNON_ENTROPY: 7.2009530, RATIO_DIVERSITY_HERFINDAHL: 0.9873965, RATIO_DIVERSITY_GINI: 0.0272611, RATIO_SHANNON_ENTROPY: 0.5812213, RATIO_AVERAGE_POPULARITY: 2.9695595, RATIO_NOVELTY: 0.0317809, 
SearchBayesianSkopt: Config 11 is suboptimal. Config: {'topK': 986, 'l1_ratio': 0.0007487471765258318, 'alpha': 0.2112379017133918} - results: PRECISION: 0.2392331, PRECISION_RECALL_MIN_DEN: 0.2417831, RECALL: 0.0552495, MAP: 0.1169077, MAP_MIN_DEN: 0.1178734, MRR: 0.4659689, NDCG: 0.2467189, F1: 0.0897677, HIT_RATE: 0.9143632, ARHR_ALL_HITS: 0.7348245, NOVELTY: 0.0053861, AVERAGE_POPULARITY: 0.6104475, DIVERSITY_MEAN_INTER_LIST: 0.8601807, DIVERSITY_HERFINDAHL: 0.9860118, COVERAGE_ITEM: 0.0493937, COVERAGE_ITEM_CORRECT: 0.0310095, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9136264, DIVERSITY_GINI: 0.0062015, SHANNON_ENTROPY: 7.0780459, RATIO_DIVERSITY_HERFINDAHL: 0.9863921, RATIO_DIVERSITY_GINI: 0.0250411, RATIO_SHANNON_ENTROPY: 0.5713009, RATIO_AVERAGE_POPULARITY: 3.0186463, RATIO_NOVELTY: 0.0316794, 
SearchBayesianSkopt: Config 12 is suboptimal. Config: {'topK': 1283, 'l1_ratio': 0.008150961623181054, 'alpha': 0.9607884940870927} - results: PRECISION: 0.2238874, PRECISION_RECALL_MIN_DEN: 0.2260561, RECALL: 0.0506209, MAP: 0.1098737, MAP_MIN_DEN: 0.1107700, MRR: 0.4573775, NDCG: 0.2340236, F1: 0.0825723, HIT_RATE: 0.8949336, ARHR_ALL_HITS: 0.7056540, NOVELTY: 0.0052028, AVERAGE_POPULARITY: 0.7156863, DIVERSITY_MEAN_INTER_LIST: 0.7228764, DIVERSITY_HERFINDAHL: 0.9722823, COVERAGE_ITEM: 0.0234232, COVERAGE_ITEM_CORRECT: 0.0113517, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.8942125, DIVERSITY_GINI: 0.0022668, SHANNON_ENTROPY: 5.7127582, RATIO_DIVERSITY_HERFINDAHL: 0.9726574, RATIO_DIVERSITY_GINI: 0.0091533, RATIO_SHANNON_ENTROPY: 0.4611024, RATIO_AVERAGE_POPULARITY: 3.5390494, RATIO_NOVELTY: 0.0306008, 
SearchBayesianSkopt: Config 13 is suboptimal. Config: {'topK': 1106, 'l1_ratio': 1.3216159655533674e-05, 'alpha': 0.2880317519200872} - results: PRECISION: 0.2375101, PRECISION_RECALL_MIN_DEN: 0.2400077, RECALL: 0.0547944, MAP: 0.1162595, MAP_MIN_DEN: 0.1172029, MRR: 0.4647286, NDCG: 0.2454161, F1: 0.0890457, HIT_RATE: 0.9117971, ARHR_ALL_HITS: 0.7320542, NOVELTY: 0.0053611, AVERAGE_POPULARITY: 0.6243039, DIVERSITY_MEAN_INTER_LIST: 0.8463885, DIVERSITY_HERFINDAHL: 0.9846326, COVERAGE_ITEM: 0.0459051, COVERAGE_ITEM_CORRECT: 0.0283515, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9110623, DIVERSITY_GINI: 0.0055126, SHANNON_ENTROPY: 6.9127261, RATIO_DIVERSITY_HERFINDAHL: 0.9850125, RATIO_DIVERSITY_GINI: 0.0222594, RATIO_SHANNON_ENTROPY: 0.5579572, RATIO_AVERAGE_POPULARITY: 3.0871658, RATIO_NOVELTY: 0.0315322, 
SearchBayesianSkopt: Config 14 is suboptimal. Config: {'topK': 914, 'l1_ratio': 9.664696153877172e-05, 'alpha': 0.4426072588571123} - results: PRECISION: 0.2361390, PRECISION_RECALL_MIN_DEN: 0.2386260, RECALL: 0.0542925, MAP: 0.1156254, MAP_MIN_DEN: 0.1165716, MRR: 0.4632503, NDCG: 0.2441768, F1: 0.0882865, HIT_RATE: 0.9095242, ARHR_ALL_HITS: 0.7286846, NOVELTY: 0.0053206, AVERAGE_POPULARITY: 0.6468738, DIVERSITY_MEAN_INTER_LIST: 0.8216396, DIVERSITY_HERFINDAHL: 0.9821579, COVERAGE_ITEM: 0.0409214, COVERAGE_ITEM_CORRECT: 0.0253059, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9087912, DIVERSITY_GINI: 0.0045239, SHANNON_ENTROPY: 6.6400243, RATIO_DIVERSITY_HERFINDAHL: 0.9825368, RATIO_DIVERSITY_GINI: 0.0182672, RATIO_SHANNON_ENTROPY: 0.5359462, RATIO_AVERAGE_POPULARITY: 3.1987736, RATIO_NOVELTY: 0.0312936, 
SearchBayesianSkopt: Config 15 is suboptimal. Config: {'topK': 1474, 'l1_ratio': 0.0010452464576484527, 'alpha': 0.8457924116465017} - results: PRECISION: 0.2319672, PRECISION_RECALL_MIN_DEN: 0.2342020, RECALL: 0.0527047, MAP: 0.1136038, MAP_MIN_DEN: 0.1145263, MRR: 0.4623879, NDCG: 0.2408027, F1: 0.0858936, HIT_RATE: 0.9047584, ARHR_ALL_HITS: 0.7216660, NOVELTY: 0.0052539, AVERAGE_POPULARITY: 0.6849851, DIVERSITY_MEAN_INTER_LIST: 0.7729610, DIVERSITY_HERFINDAHL: 0.9772904, COVERAGE_ITEM: 0.0331137, COVERAGE_ITEM_CORRECT: 0.0183288, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9040293, DIVERSITY_GINI: 0.0031581, SHANNON_ENTROPY: 6.1558749, RATIO_DIVERSITY_HERFINDAHL: 0.9776674, RATIO_DIVERSITY_GINI: 0.0127521, RATIO_SHANNON_ENTROPY: 0.4968683, RATIO_AVERAGE_POPULARITY: 3.3872326, RATIO_NOVELTY: 0.0309015, 
SearchBayesianSkopt: Config 16 is suboptimal. Config: {'topK': 1397, 'l1_ratio': 5.581790528629971e-05, 'alpha': 0.11695043066379225} - results: PRECISION: 0.2401789, PRECISION_RECALL_MIN_DEN: 0.2425966, RECALL: 0.0554662, MAP: 0.1174201, MAP_MIN_DEN: 0.1183582, MRR: 0.4683847, NDCG: 0.2476296, F1: 0.0901202, HIT_RATE: 0.9160496, ARHR_ALL_HITS: 0.7377966, NOVELTY: 0.0054451, AVERAGE_POPULARITY: 0.5805035, DIVERSITY_MEAN_INTER_LIST: 0.8842005, DIVERSITY_HERFINDAHL: 0.9884136, COVERAGE_ITEM: 0.0581981, COVERAGE_ITEM_CORRECT: 0.0367130, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9153114, DIVERSITY_GINI: 0.0078861, SHANNON_ENTROPY: 7.4121769, RATIO_DIVERSITY_HERFINDAHL: 0.9887948, RATIO_DIVERSITY_GINI: 0.0318433, RATIO_SHANNON_ENTROPY: 0.5982701, RATIO_AVERAGE_POPULARITY: 2.8705740, RATIO_NOVELTY: 0.0320264, 
SearchBayesianSkopt: Config 17 is suboptimal. Config: {'topK': 1329, 'l1_ratio': 4.366290603066281e-05, 'alpha': 0.5388341175009048} - results: PRECISION: 0.2352885, PRECISION_RECALL_MIN_DEN: 0.2378024, RECALL: 0.0541242, MAP: 0.1152816, MAP_MIN_DEN: 0.1162324, MRR: 0.4637201, NDCG: 0.2436644, F1: 0.0880044, HIT_RATE: 0.9100374, ARHR_ALL_HITS: 0.7281536, NOVELTY: 0.0053034, AVERAGE_POPULARITY: 0.6565303, DIVERSITY_MEAN_INTER_LIST: 0.8107917, DIVERSITY_HERFINDAHL: 0.9810732, COVERAGE_ITEM: 0.0389833, COVERAGE_ITEM_CORRECT: 0.0235893, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9093040, DIVERSITY_GINI: 0.0041558, SHANNON_ENTROPY: 6.5241166, RATIO_DIVERSITY_HERFINDAHL: 0.9814517, RATIO_DIVERSITY_GINI: 0.0167808, RATIO_SHANNON_ENTROPY: 0.5265908, RATIO_AVERAGE_POPULARITY: 3.2465244, RATIO_NOVELTY: 0.0311926, 
SearchBayesianSkopt: Config 18 is suboptimal. Config: {'topK': 1341, 'l1_ratio': 0.00024282396952491259, 'alpha': 0.5956602090087304} - results: PRECISION: 0.2345553, PRECISION_RECALL_MIN_DEN: 0.2370191, RECALL: 0.0538053, MAP: 0.1149400, MAP_MIN_DEN: 0.1158712, MRR: 0.4637610, NDCG: 0.2430768, F1: 0.0875315, HIT_RATE: 0.9089376, ARHR_ALL_HITS: 0.7270568, NOVELTY: 0.0052927, AVERAGE_POPULARITY: 0.6624811, DIVERSITY_MEAN_INTER_LIST: 0.8036468, DIVERSITY_HERFINDAHL: 0.9803588, COVERAGE_ITEM: 0.0374882, COVERAGE_ITEM_CORRECT: 0.0226480, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9082051, DIVERSITY_GINI: 0.0039351, SHANNON_ENTROPY: 6.4511537, RATIO_DIVERSITY_HERFINDAHL: 0.9807370, RATIO_DIVERSITY_GINI: 0.0158896, RATIO_SHANNON_ENTROPY: 0.5207016, RATIO_AVERAGE_POPULARITY: 3.2759512, RATIO_NOVELTY: 0.0311299, 
SearchBayesianSkopt: Config 19 is suboptimal. Config: {'topK': 1432, 'l1_ratio': 0.004770557248480082, 'alpha': 0.8310573306583243} - results: PRECISION: 0.2287191, PRECISION_RECALL_MIN_DEN: 0.2309284, RECALL: 0.0518671, MAP: 0.1121357, MAP_MIN_DEN: 0.1130611, MRR: 0.4601323, NDCG: 0.2380510, F1: 0.0845587, HIT_RATE: 0.9003593, ARHR_ALL_HITS: 0.7150684, NOVELTY: 0.0052281, AVERAGE_POPULARITY: 0.6993472, DIVERSITY_MEAN_INTER_LIST: 0.7523870, DIVERSITY_HERFINDAHL: 0.9752332, COVERAGE_ITEM: 0.0285730, COVERAGE_ITEM_CORRECT: 0.0148402, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.8996337, DIVERSITY_GINI: 0.0027148, SHANNON_ENTROPY: 5.9591857, RATIO_DIVERSITY_HERFINDAHL: 0.9756094, RATIO_DIVERSITY_GINI: 0.0109622, RATIO_SHANNON_ENTROPY: 0.4809927, RATIO_AVERAGE_POPULARITY: 3.4582531, RATIO_NOVELTY: 0.0307501, 
SearchBayesianSkopt: Config 20 is suboptimal. Config: {'topK': 1093, 'l1_ratio': 5.022552139059184e-05, 'alpha': 0.7730152068673314} - results: PRECISION: 0.2330963, PRECISION_RECALL_MIN_DEN: 0.2353590, RECALL: 0.0530912, MAP: 0.1142618, MAP_MIN_DEN: 0.1151892, MRR: 0.4637380, NDCG: 0.2419418, F1: 0.0864842, HIT_RATE: 0.9065181, ARHR_ALL_HITS: 0.7249085, NOVELTY: 0.0052729, AVERAGE_POPULARITY: 0.6743453, DIVERSITY_MEAN_INTER_LIST: 0.7867780, DIVERSITY_HERFINDAHL: 0.9786720, COVERAGE_ITEM: 0.0351625, COVERAGE_ITEM_CORRECT: 0.0208760, COVERAGE_USER: 0.9991941, COVERAGE_USER_CORRECT: 0.9057875, DIVERSITY_GINI: 0.0035016, SHANNON_ENTROPY: 6.2911404, RATIO_DIVERSITY_HERFINDAHL: 0.9790496, RATIO_DIVERSITY_GINI: 0.0141393, RATIO_SHANNON_ENTROPY: 0.5077862, RATIO_AVERAGE_POPULARITY: 3.3346191, RATIO_NOVELTY: 0.0310132, 
